ID,Model,Rater,C2_1,C2_2
1,GPT35,R4,5,5
1,GPT35,R6,5,5
1,GPT35,R5,5,5
1,GPT4,R4,5,5
1,GPT4,R6,5,5
1,GPT4,R5,5,5
1,Llama,R4,5,5
1,Llama,R6,5,5
1,Llama,R5,5,5
2,GPT35,R4,5,5
2,GPT35,R6,5,5
2,GPT35,R5,5,5
2,GPT4,R4,5,5
2,GPT4,R6,5,5
2,GPT4,R5,5,5
2,Llama,R4,5,5
2,Llama,R6,5,5
2,Llama,R5,5,5
3,GPT35,R4,5,5
3,GPT35,R6,5,5
3,GPT35,R5,5,5
3,GPT4,R4,5,5
3,GPT4,R6,5,5
3,GPT4,R5,5,4
3,Llama,R4,5,5
3,Llama,R6,5,5
3,Llama,R5,5,5
4,GPT35,R4,5,5
4,GPT35,R6,5,5
4,GPT35,R5,5,5
4,GPT4,R4,5,5
4,GPT4,R6,5,5
4,GPT4,R5,5,5
4,Llama,R4,5,5
4,Llama,R6,5,5
4,Llama,R5,5,5
5,GPT35,R4,5,5
5,GPT35,R6,5,5
5,GPT35,R5,5,5
5,GPT4,R4,5,5
5,GPT4,R6,5,5
5,GPT4,R5,5,5
5,Llama,R4,5,5
5,Llama,R6,5,5
5,Llama,R5,5,5
6,GPT35,R4,5,5
6,GPT35,R6,5,5
6,GPT35,R5,5,5
6,GPT4,R4,5,5
6,GPT4,R6,5,5
6,GPT4,R5,5,5
6,Llama,R4,5,5
6,Llama,R6,5,5
6,Llama,R5,5,5
7,GPT35,R4,5,5
7,GPT35,R6,5,5
7,GPT35,R5,5,5
7,GPT4,R4,5,5
7,GPT4,R6,5,5
7,GPT4,R5,5,5
7,Llama,R4,5,5
7,Llama,R6,5,5
7,Llama,R5,5,5
8,GPT35,R4,5,5
8,GPT35,R6,5,5
8,GPT35,R5,5,5
8,GPT4,R4,5,5
8,GPT4,R6,5,5
8,GPT4,R5,5,5
8,Llama,R4,5,5
8,Llama,R6,5,5
8,Llama,R5,5,5
9,GPT35,R4,5,5
9,GPT35,R6,5,5
9,GPT35,R5,5,5
9,GPT4,R4,5,5
9,GPT4,R6,5,5
9,GPT4,R5,5,5
9,Llama,R4,0,0
9,Llama,R6,0,0
9,Llama,R5,0,0
10,GPT35,R4,5,5
10,GPT35,R6,5,5
10,GPT35,R5,5,5
10,GPT4,R4,5,5
10,GPT4,R6,5,5
10,GPT4,R5,5,5
10,Llama,R4,5,5
10,Llama,R6,5,3
10,Llama,R5,4,4
11,GPT35,R4,0,0
11,GPT35,R6,0,0
11,GPT35,R5,0,0
11,GPT4,R4,5,5
11,GPT4,R6,5,5
11,GPT4,R5,5,5
11,Llama,R4,5,4
11,Llama,R6,5,2
11,Llama,R5,5,1
12,GPT35,R4,5,5
12,GPT35,R6,5,5
12,GPT35,R5,5,5
12,GPT4,R4,5,5
12,GPT4,R6,5,5
12,GPT4,R5,5,5
12,Llama,R4,5,1
12,Llama,R6,5,2
12,Llama,R5,5,0
13,GPT35,R4,5,4
