ID,Model,Rater,C1_1,C1_2,C1_3,C1_4,C1_5
1,GPT35,R1,5,5,5,4,4
1,GPT35,R3,5,5,5,5,3
1,GPT35,R2,5,5,5,5,4
1,GPT4,R1,5,5,5,5,5
1,GPT4,R3,5,5,5,5,5
1,GPT4,R2,5,5,5,5,5
1,Llama,R1,5,5,5,5,5
1,Llama,R3,5,5,5,5,5
1,Llama,R2,5,5,5,5,5
2,GPT35,R1,4,5,5,5,5
2,GPT35,R3,5,5,5,5,5
2,GPT35,R2,5,5,5,5,5
2,GPT4,R1,4,5,5,5,5
2,GPT4,R3,5,5,5,5,5
2,GPT4,R2,5,5,5,5,5
2,Llama,R1,4,5,5,5,4
2,Llama,R3,5,5,5,5,2
2,Llama,R2,5,5,5,5,4
3,GPT35,R1,5,5,5,5,4
3,GPT35,R3,5,5,5,5,5
3,GPT35,R2,5,5,5,5,5
3,GPT4,R1,5,5,5,5,4
3,GPT4,R3,5,5,5,5,5
3,GPT4,R2,5,5,5,5,4
3,Llama,R1,5,5,5,5,3
3,Llama,R3,5,5,5,5,2
3,Llama,R2,5,5,5,5,4
4,GPT35,R1,5,5,5,5,5
4,GPT35,R3,5,5,5,5,5
4,GPT35,R2,5,5,5,5,4
4,GPT4,R1,5,5,5,5,4
4,GPT4,R3,5,5,5,5,5
4,GPT4,R2,5,5,5,5,4
4,Llama,R1,5,5,5,5,5
4,Llama,R3,5,5,5,5,5
4,Llama,R2,5,5,5,5,4
5,GPT35,R1,5,5,5,5,5
5,GPT35,R3,5,5,5,5,5
5,GPT35,R2,5,5,5,5,5
5,GPT4,R1,5,5,5,5,4
5,GPT4,R3,5,5,5,5,5
5,GPT4,R2,5,5,5,5,4
5,Llama,R1,5,5,5,5,3
5,Llama,R3,5,5,5,5,2
5,Llama,R2,5,5,5,5,5
6,GPT35,R1,5,5,5,5,5
6,GPT35,R3,5,5,5,5,5
6,GPT35,R2,5,5,5,5,5
6,GPT4,R1,5,5,5,5,4
6,GPT4,R3,5,5,5,5,5
6,GPT4,R2,5,5,5,5,4
6,Llama,R1,5,5,5,5,4
6,Llama,R3,5,5,5,5,5
6,Llama,R2,5,5,5,5,4
7,GPT35,R1,4,5,4,5,5
7,GPT35,R3,5,5,5,5,5
7,GPT35,R2,5,3,5,5,5
7,GPT4,R1,4,5,4,5,5
7,GPT4,R3,5,5,5,5,5
7,GPT4,R2,5,2,5,4,5
7,Llama,R1,5,5,4,4,3
7,Llama,R3,5,5,5,5,3
7,Llama,R2,3,5,3,5,5
8,GPT35,R1,5,5,5,5,5
8,GPT35,R3,5,5,5,5,5
8,GPT35,R2,5,5,5,5,5
8,GPT4,R1,5,5,5,5,4
8,GPT4,R3,5,5,5,5,3
8,GPT4,R2,5,5,5,5,3
8,Llama,R1,5,5,5,5,4
8,Llama,R3,5,5,5,5,2
8,Llama,R2,5,5,5,5,3
9,GPT35,R1,5,4,5,5,5
9,GPT35,R3,5,5,5,5,5
9,GPT35,R2,5,5,5,5,5
9,GPT4,R1,5,5,5,5,5
9,GPT4,R3,5,5,5,5,5
9,GPT4,R2,5,5,5,5,5
9,Llama,R1,4,5,5,5,1
9,Llama,R3,5,5,5,5,2
9,Llama,R2,5,5,3,4,4
10,GPT35,R1,3,4,2,4,4
10,GPT35,R3,5,5,5,5,5
10,GPT35,R2,4,5,4,5,4
10,GPT4,R1,5,5,4,4,2
10,GPT4,R3,5,5,5,5,3
10,GPT4,R2,5,5,5,5,3
10,Llama,R1,3,4,2,2,1
10,Llama,R3,5,5,5,3,2
10,Llama,R2,5,5,5,5,3
11,GPT35,R1,3,5,2,5,5
11,GPT35,R3,5,5,5,5,5
11,GPT35,R2,5,4,4,5,5
11,GPT4,R1,5,5,4,5,4
11,GPT4,R3,5,5,5,5,2
11,GPT4,R2,5,5,5,3,3
11,Llama,R1,5,5,3,5,5
11,Llama,R3,5,5,5,5,4
11,Llama,R2,5,5,5,5,4
12,GPT35,R1,3,5,5,5,5
12,GPT35,R3,5,5,5,5,4
12,GPT35,R2,5,5,4,5,4
12,GPT4,R1,4,5,5,5,2
12,GPT4,R3,3,5,5,5,5
12,GPT4,R2,5,5,4,5,3
12,Llama,R1,5,5,5,5,2
12,Llama,R3,5,5,5,5,5
12,Llama,R2,5,5,4,5,4
13,GPT35,R1,5,5,5,5,4
13,GPT35,R3,5,5,5,5,5
13,GPT35,R2,5,5,5,5,4
13,GPT4,R1,5,5,5,5,4
13,GPT4,R3,5,5,5,5,5
13,GPT4,R2,5,5,5,5,4
13,Llama,R1,5,5,5,5,4
13,Llama,R3,5,5,5,5,5
13,Llama,R2,5,5,5,5,4
14,GPT35,R1,5,5,5,5,4
14,GPT35,R3,5,5,5,5,5
14,GPT35,R2,5,5,5,5,4
14,GPT4,R1,5,5,5,5,5
14,GPT4,R3,5,5,5,5,5
14,GPT4,R2,4,5,4,5,4
14,Llama,R1,5,5,5,5,4
14,Llama,R3,5,5,5,5,2
14,Llama,R2,3,5,3,5,3
15,GPT35,R1,5,5,5,5,4
15,GPT35,R3,5,5,5,5,5
15,GPT35,R2,5,5,5,5,5
15,GPT4,R1,5,5,5,5,4
15,GPT4,R3,5,5,5,5,5
15,GPT4,R2,5,5,5,5,4
15,Llama,R1,5,5,5,5,3
15,Llama,R3,5,5,5,5,2
15,Llama,R2,5,5,5,5,3
16,GPT35,R1,5,5,5,5,4
16,GPT35,R3,5,5,5,5,5
16,GPT35,R2,5,5,5,5,4
16,GPT4,R1,5,5,5,5,4
16,GPT4,R3,5,5,5,5,5
16,GPT4,R2,5,5,5,5,4
16,Llama,R1,5,5,5,5,4
16,Llama,R3,5,5,5,5,5
16,Llama,R2,5,5,5,5,4
17,GPT35,R1,5,5,4,5,4
