ID,Model,Rater,C3_1,C3_2,C3_3
1,GPT35,R7,5,5,5
1,GPT35,R9,5,5,5
1,GPT35,R8,5,5,5
1,GPT4,R7,5,5,5
1,GPT4,R9,5,5,5
1,GPT4,R8,5,5,5
1,Llama,R7,5,5,5
1,Llama,R9,5,5,5
1,Llama,R8,5,5,5
2,GPT35,R7,4,4,4
2,GPT35,R9,5,5,5
2,GPT35,R8,5,5,5
2,GPT4,R7,4,4,4
2,GPT4,R9,5,5,5
2,GPT4,R8,5,5,5
2,Llama,R7,5,5,5
2,Llama,R9,5,4,4
2,Llama,R8,5,4,3
3,GPT35,R7,5,4,4
3,GPT35,R9,5,5,5
3,GPT35,R8,5,5,5
3,GPT4,R7,5,4,4
3,GPT4,R9,5,4,5
3,GPT4,R8,5,4,5
3,Llama,R7,5,4,4
3,Llama,R9,5,3,2
3,Llama,R8,5,3,3
4,GPT35,R7,5,5,4
4,GPT35,R9,5,5,5
4,GPT35,R8,5,5,5
4,GPT4,R7,5,5,4
4,GPT4,R9,5,4,5
4,GPT4,R8,5,4,5
4,Llama,R7,5,5,4
4,Llama,R9,5,5,5
4,Llama,R8,5,5,5
5,GPT35,R7,5,5,5
5,GPT35,R9,5,5,5
5,GPT35,R8,5,5,5
5,GPT4,R7,5,5,5
5,GPT4,R9,5,5,5
5,GPT4,R8,5,5,5
5,Llama,R7,5,5,5
5,Llama,R9,5,4,2
5,Llama,R8,5,4,3
6,GPT35,R7,5,5,5
6,GPT35,R9,5,5,5
6,GPT35,R8,5,5,5
6,GPT4,R7,5,5,4
6,GPT4,R9,5,5,5
6,GPT4,R8,5,5,5
6,Llama,R7,5,4,4
6,Llama,R9,5,5,5
6,Llama,R8,5,5,5
7,GPT35,R7,5,5,5
7,GPT35,R9,5,5,5
7,GPT35,R8,5,5,5
7,GPT4,R7,5,5,5
7,GPT4,R9,5,5,5
7,GPT4,R8,5,5,5
7,Llama,R7,5,5,5
7,Llama,R9,5,5,5
7,Llama,R8,5,5,5
8,GPT35,R7,5,5,5
8,GPT35,R9,3,4,4
8,GPT35,R8,4,4,3
8,GPT4,R7,5,5,5
8,GPT4,R9,3,4,4
8,GPT4,R8,4,4,3
8,Llama,R7,5,5,5
8,Llama,R9,3,4,4
8,Llama,R8,4,4,3
9,GPT35,R7,2,3,4
9,GPT35,R9,2,4,4
9,GPT35,R8,3,3,4
9,GPT4,R7,3,3,4
9,GPT4,R9,4,5,5
9,GPT4,R8,5,5,5
9,Llama,R7,0,0,0
9,Llama,R9,0,0,0
9,Llama,R8,0,0,0
10,GPT35,R7,4,4,4
10,GPT35,R9,2,4,4
10,GPT35,R8,3,3,4
10,GPT4,R7,4,4,4
10,GPT4,R9,2,4,4
10,GPT4,R8,3,3,4
10,Llama,R7,4,4,3
10,Llama,R9,2,4,4
10,Llama,R8,3,3,4
11,GPT35,R7,0,0,0
11,GPT35,R9,0,0,0
11,GPT35,R8,0,0,0
11,GPT4,R7,3,3,3
11,GPT4,R9,2,4,4
11,GPT4,R8,4,3,3
11,Llama,R7,3,3,3
11,Llama,R9,2,4,4
11,Llama,R8,4,3,3
12,GPT35,R7,5,5,5
12,GPT35,R9,2,4,4
12,GPT35,R8,5,4,4
12,GPT4,R7,5,5,5
12,GPT4,R9,3,4,4
12,GPT4,R8,5,4,3
12,Llama,R7,0,0,0
12,Llama,R9,0,0,0
12,Llama,R8,4,3,4
13,GPT35,R7,5,5,5
13,GPT35,R9,5,4,5
13,GPT35,R8,5,4,4
13,GPT4,R7,5,5,5
13,GPT4,R9,5,4,5
13,GPT4,R8,5,4,4
13,Llama,R7,5,5,5
13,Llama,R9,5,4,5
13,Llama,R8,5,4,4
14,GPT35,R7,3,3,3
14,GPT35,R9,2,4,4
14,GPT35,R8,3,4,4
14,GPT4,R7,5,5,4
14,GPT4,R9,2,4,4
14,GPT4,R8,3,4,4
14,Llama,R7,5,5,3
14,Llama,R9,2,4,4
14,Llama,R8,3,4,4
15,GPT35,R7,0,0,0
15,GPT35,R9,0,0,0
15,GPT35,R8,0,0,0
15,GPT4,R7,5,4,4
15,GPT4,R9,5,5,5
15,GPT4,R8,5,5,5
15,Llama,R7,5,4,4
15,Llama,R9,5,5,5
15,Llama,R8,5,5,5
16,GPT35,R7,5,4,4
16,GPT35,R9,4,4,5
16,GPT35,R8,4,4,5
16,GPT4,R7,5,4,4
16,GPT4,R9,5,5,5
16,GPT4,R8,5,5,5
16,Llama,R7,5,4,4
16,Llama,R9,5,5,5
16,Llama,R8,5,5,5
17,GPT35,R7,5,5,5
17,GPT35,R9,5,5,5
17,GPT35,R8,5,5,5
17,GPT4,R7,0,0,0
17,GPT4,R9,0,0,0
17,GPT4,R8,0,0,0
17,Llama,R7,5,5,5
17,Llama,R9,5,5,5
17,Llama,R8,5,5,5
18,GPT35,R7,0,0,0
18,GPT35,R9,0,0,0
18,GPT35,R8,0,0,0
18,GPT4,R7,0,0,0
18,GPT4,R9,0,0,0
18,GPT4,R8,0,0,0
18,Llama,R7,0,0,0
18,Llama,R9,0,0,0
18,Llama,R8,0,0,0
19,GPT35,R7,2,3,3
19,GPT35,R9,4,5,5
19,GPT35,R8,4,5,5
19,GPT4,R7,5,5,5
19,GPT4,R9,5,5,5
19,GPT4,R8,5,5,5
19,Llama,R7,5,5,3
19,Llama,R9,5,2,2
19,Llama,R8,5,3,4
20,GPT35,R7,3,3,3
20,GPT35,R9,5,5,5
20,GPT35,R8,5,5,5
20,GPT4,R7,0,0,0
20,GPT4,R9,0,0,0
20,GPT4,R8,0,0,0
20,Llama,R7,3,3,3
20,Llama,R9,2,2,2
20,Llama,R8,2,2,2
21,GPT35,R7,3,3,3
21,GPT35,R9,2,2,2
21,GPT35,R8,3,3,3
21,GPT4,R7,1,1,1
21,GPT4,R9,1,1,1
21,GPT4,R8,2,2,2
21,Llama,R7,5,5,4
21,Llama,R9,5,2,4
21,Llama,R8,5,3,2
22,GPT35,R7,0,0,0
22,GPT35,R9,0,0,0
22,GPT35,R8,0,0,0
22,GPT4,R7,1,1,1
22,GPT4,R9,1,1,1
22,GPT4,R8,2,2,2
22,Llama,R7,5,5,5
22,Llama,R9,5,4,5
22,Llama,R8,5,4,5
23,GPT35,R7,5,5,5
23,GPT35,R9,4,4,4
23,GPT35,R8,4,4,4
23,GPT4,R7,0,0,0
23,GPT4,R9,0,0,0
23,GPT4,R8,0,0,0
23,Llama,R7,5,5,4
23,Llama,R9,5,5,5
23,Llama,R8,5,5,5
24,GPT35,R7,5,4,4
24,GPT35,R9,4,5,5
24,GPT35,R8,5,3,3
24,GPT4,R7,5,4,4
24,GPT4,R9,5,4,5
24,GPT4,R8,4,3,3
24,Llama,R7,5,4,4
24,Llama,R9,5,2,2
24,Llama,R8,5,3,3
25,GPT35,R7,4,4,4
25,GPT35,R9,4,5,5
25,GPT35,R8,4,4,4
25,GPT4,R7,4,4,4
25,GPT4,R9,4,4,5
25,GPT4,R8,4,4,4
25,Llama,R7,4,4,4
25,Llama,R9,5,5,5
25,Llama,R8,4,4,4
26,GPT35,R7,3,3,3
26,GPT35,R9,2,2,2
26,GPT35,R8,0,0,0
26,GPT4,R7,4,4,4
26,GPT4,R9,0,0,0
26,GPT4,R8,4,3,3
26,Llama,R7,0,0,0
26,Llama,R9,0,0,0
26,Llama,R8,0,0,0
27,GPT35,R7,4,4,4
27,GPT35,R9,5,5,5
27,GPT35,R8,5,4,4
27,GPT4,R7,0,0,0
27,GPT4,R9,0,0,0
27,GPT4,R8,0,0,0
27,Llama,R7,4,4,4
27,Llama,R9,5,5,5
27,Llama,R8,5,4,4
28,GPT35,R7,0,0,0
28,GPT35,R9,0,0,0
28,GPT35,R8,0,0,0
28,GPT4,R7,0,0,0
28,GPT4,R9,0,0,0
28,GPT4,R8,0,0,0
28,Llama,R7,3,3,3
28,Llama,R9,5,5,5
28,Llama,R8,5,5,5
29,GPT35,R7,2,3,3
29,GPT35,R9,2,4,4
29,GPT35,R8,4,3,3
29,GPT4,R7,0,0,0
29,GPT4,R9,0,0,0
29,GPT4,R8,0,0,0
29,Llama,R7,4,4,3
29,Llama,R9,2,4,4
29,Llama,R8,5,3,3
30,GPT35,R7,5,5,5
30,GPT35,R9,5,5,5
30,GPT35,R8,5,5,5
30,GPT4,R7,2,2,2
30,GPT4,R9,2,3,4
30,GPT4,R8,2,2,2
30,Llama,R7,5,5,5
30,Llama,R9,5,4,5
30,Llama,R8,5,3,4
